Customer,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time
0,1.10306,1,0,0,0,1.10306,8.58781,0
1,2.61977,2,0,0,0,8.58781,10.6477,5.96804
2,4.47122,3,1,0,0,10.6477,17.7665,6.17645
3,4.80066,4,2,0,0,17.7665,19.5884,12.9659
4,7.86882,5,3,0,0,19.5884,33.8796,11.7196
5,37.5407,1,0,3,0,37.5407,43.3144,0
6,39.2098,2,0,3,0,43.3144,43.3641,4.10463
7,39.857,3,1,3,0,43.3641,48.0405,3.50713
8,42.7425,4,2,4,0,48.0405,58.5823,5.29803
9,43.5435,3,1,4,0,58.5823,70.6627,15.0388
10,72.1369,1,0,7,0,72.1369,83.2209,0
11,78.7004,2,0,7,0,83.2209,102.244,4.52052
12,83.3806,2,0,8,0,102.244,124.224,18.863
13,83.4512,3,1,8,0,124.224,128.6,40.7729
14,84.0724,4,2,8,0,128.6,140.898,44.5281
15,116.537,4,2,11,0,140.898,146.879,24.3617
16,116.698,5,3,11,0,146.879,157.512,30.1809
17,117.386,6,4,11,0,157.512,171.541,40.1263
18,117.697,7,5,11,0,171.541,173.989,53.8446
19,122.414,8,6,12,0,173.989,186.908,51.5751
20,124.868,8,6,12,0,186.908,191.876,62.0396
21,130.378,8,6,13,0,191.876,196.865,61.4978
22,132.384,9,7,13,0,196.865,199.429,64.4804
23,140.863,10,8,14,0,199.429,214.25,58.5668
24,141.747,10,8,14,0,214.25,218.015,72.5037
25,145.54,11,9,14,0,218.015,245.807,72.4756
26,150.405,11,9,15,0,245.807,253.691,95.4024
27,155.557,12,10,15,0,253.691,257.239,98.134
28,170.68,12,10,17,0,257.239,260.913,86.5594
29,175.887,11,9,17,0,260.913,263.527,85.0259
30,176.85,12,10,17,0,263.527,269.165,86.6761
31,190.881,12,10,19,0,269.165,280.41,78.2837
32,200.942,10,8,20,0,280.41,284.144,79.4673
33,204.678,11,9,20,0,284.144,286.055,79.4668
34,205.753,12,10,20,0,286.055,300.083,80.3015
35,213.171,13,11,21,0,300.083,311.912,86.9121
36,217.23,13,11,21,0,311.912,334.697,94.6813
37,225.81,13,11,22,0,334.697,351.326,108.887
38,231.632,14,12,23,0,351.326,352.324,119.694
39,269.26,9,7,26,0,352.324,355.076,83.064
40,275.897,10,8,27,0,355.076,363.003,79.179
41,292.291,8,6,29,0,363.003,390.386,70.7118
42,329.033,7,5,32,0,390.386,412.039,61.3535
43,337.35,7,5,33,0,412.039,421.321,74.6886
44,347.258,8,6,34,0,421.321,436.858,74.0636
45,347.337,9,7,34,0,436.858,451.939,89.5204
46,352.776,8,6,35,0,451.939,482.025,99.1631
47,355.099,8,6,35,0,482.025,492.176,126.927
48,357.895,9,7,35,0,492.176,500.994,134.281
49,381.295,9,7,38,0,500.994,509.544,119.7
50,387.726,10,8,38,0,509.544,519.118,121.818
51,394.898,10,8,39,0,519.118,521.583,124.22
52,396.042,11,9,39,0,521.583,527.934,125.541
53,402.925,12,10,40,0,527.934,544.174,125.009
54,406.108,13,11,40,0,544.174,555.982,138.066
55,409.594,14,12,40,0,555.982,558.41,146.388
56,425.567,13,11,42,0,558.41,566.683,132.843
57,430.465,14,12,43,0,566.683,575.951,136.219
58,431.634,15,13,43,0,575.951,592.984,144.317
59,439.125,15,13,43,0,592.984,605.222,153.86
60,441.462,16,14,44,0,605.222,620.476,163.76
61,444.675,17,15,44,0,620.476,638.143,175.801
62,454.837,17,15,45,0,638.143,640.278,183.306
63,457.008,18,16,45,0,640.278,669.29,183.269
64,460.808,19,17,46,0,669.29,676.379,208.482
65,471.327,20,18,47,0,676.379,700.21,205.051
66,471.448,21,19,47,0,700.21,708.156,228.761
67,475.408,22,20,47,0,708.156,722.419,232.747
68,477.757,23,21,47,0,722.419,730.128,244.663
69,478.349,24,22,47,0,730.128,742.151,251.779
70,485.445,24,22,48,0,742.151,747.316,256.706
71,491.574,25,23,49,0,747.316,748.113,255.742
72,522.392,21,19,52,0,748.113,751.101,225.721
73,532.109,21,19,53,0,751.101,758.096,218.992
74,543.783,22,20,54,0,758.096,767.847,214.313
75,544.721,22,20,54,0,767.847,774.761,223.126
76,547.544,23,21,54,0,774.761,780.914,227.217
77,566.777,21,19,56,0,780.914,796.154,214.137
78,588.323,21,19,58,0,796.154,798.541,207.83
79,611.025,20,18,61,0,798.541,815.913,187.516
80,612.623,21,19,61,0,815.913,820.589,203.29
81,613.323,22,20,61,0,820.589,822.04,207.266
82,618.444,23,21,61,0,822.04,822.469,203.596
83,620.207,24,22,62,0,822.469,844.311,202.262
84,625.689,24,22,62,0,844.311,851.978,218.622
85,628.297,25,23,62,0,851.978,868.698,223.681
86,629.543,26,24,62,0,868.698,870.295,239.155
87,633.183,27,25,63,0,870.295,870.603,237.112
88,652.177,26,24,65,0,870.603,881.133,218.426
89,655.987,27,25,65,0,881.133,885.797,225.146
90,665.266,28,26,66,0,885.797,887.524,220.531
91,666.102,29,27,66,0,887.524,893.118,221.421
92,680.227,28,26,68,0,893.118,902.57,212.891
93,687.256,29,27,68,0,902.57,930.409,215.315
94,693.461,30,28,69,0,930.409,930.859,236.947
95,699.405,31,29,69,0,930.859,956.188,231.454
96,729.964,29,27,72,0,956.188,969.851,226.224
97,730.295,29,27,73,0,969.851,974.143,239.556
98,732.558,30,28,73,0,974.143,1015.01,241.585
99,770.982,25,23,77,0,1015.01,1035.98,244.033
100,811.448,22,20,81,0,1035.98,1044.62,224.535
101,819.483,22,20,81,0,1044.62,1047.21,225.139
102,830.371,20,18,83,0,1047.21,1056.59,216.835
103,853.64,19,17,85,0,1056.59,1064.11,202.952
104,859.513,20,18,85,0,1064.11,1070.66,204.6
105,859.947,21,19,85,0,1070.66,1072.34,210.717
106,863.071,22,20,86,0,1072.34,1089.79,209.272
107,868.465,23,21,86,0,1089.79,1124.49,221.326
108,874.205,21,19,87,0,1124.49,1146.41,250.284
109,885.503,21,19,88,0,1146.41,1159.94,260.907
110,891.941,20,18,89,0,1159.94,1164.95,267.995
111,904.245,19,17,90,0,1164.95,1166.06,260.707
112,906.071,20,18,90,0,1166.06,1170.88,259.987
113,911.722,21,19,91,0,1170.88,1184.75,259.159
114,914.534,22,20,91,0,1184.75,1185.06,270.215
115,914.589,23,21,91,0,1185.06,1189.5,270.467
116,923.91,24,22,92,0,1189.5,1203.7,265.585
117,925.03,25,23,92,0,1203.7,1223.31,278.673
118,933.277,24,22,93,0,1223.31,1257.17,290.035
119,944.676,25,23,94,0,1257.17,1266.38,312.494
120,945.08,26,24,94,0,1266.38,1283.45,321.298
121,957.957,26,24,95,0,1283.45,1290.19,325.497
122,963.386,27,25,96,0,1290.19,1292.33,326.805
123,970.185,27,25,97,0,1292.33,1292.84,322.147
124,976.804,27,25,97,0,1292.84,1293.91,316.036
125,990.303,28,26,99,0,1293.91,1301.59,303.604
126,991.485,29,27,99,0,1301.59,1303.78,310.104
127,992.155,30,28,99,0,1303.78,1320.54,311.625
128,1006.84,31,29,100,0,1320.54,1326.63,313.708
129,1018.11,31,29,101,0,1326.63,1330.14,308.522
130,1019.24,32,30,101,0,1330.14,1338.61,310.893
131,1022.4,33,31,102,0,1338.61,1355.9,316.211
132,1075.17,27,25,107,0,1355.9,1373.25,280.736
133,1078.98,28,26,107,0,1373.25,1408.61,294.276
134,1092.89,28,26,109,0,1408.61,1409.48,315.715
135,1093.64,29,27,109,0,1409.48,1411.34,315.846
136,1109.45,30,28,110,0,1411.34,1419.25,301.887
137,1128.02,30,28,112,0,1419.25,1433.32,291.225
138,1149.58,30,28,114,0,1433.32,1450.33,283.744
139,1156.27,31,29,115,0,1450.33,1480.61,294.06
140,1160.62,31,29,116,0,1480.61,1491.84,319.995
141,1178.98,29,27,117,0,1491.84,1503.81,312.864
142,1180.81,30,28,118,0,1503.81,1511.47,322.999
143,1184.51,31,29,118,0,1511.47,1544.96,326.965
144,1190.54,29,27,119,0,1544.96,1550.47,354.422
145,1193.95,30,28,119,0,1550.47,1554.12,356.527
146,1196.25,31,29,119,0,1554.12,1562.32,357.869
147,1198.28,32,30,119,0,1562.32,1566.37,364.039
148,1204.28,32,30,120,0,1566.37,1567.95,362.093
149,1214.15,33,31,121,0,1567.95,1577.19,353.794
150,1262.81,32,30,126,0,1577.19,1578.28,314.376
151,1266.57,32,30,126,0,1578.28,1590.58,311.717
152,1271.8,33,31,127,0,1590.58,1607.89,318.775
153,1277.12,34,32,127,0,1607.89,1618.15,330.775
154,1285.27,34,32,128,0,1618.15,1637.45,332.887
155,1289.01,35,33,128,0,1637.45,1659.33,348.437
156,1295.58,32,30,129,0,1659.33,1677.72,363.754
157,1318.01,31,29,131,0,1677.72,1687.55,359.714
158,1325.82,31,29,132,0,1687.55,1694.82,361.729
159,1327.46,31,29,132,0,1694.82,1714,367.354
160,1331.11,31,29,133,0,1714,1720.25,382.886
161,1362.94,30,28,136,0,1720.25,1728.04,357.317
162,1364.74,31,29,136,0,1728.04,1729.21,363.303
163,1368.04,32,30,136,0,1729.21,1743.68,361.171
164,1376.07,32,30,137,0,1743.68,1756.1,367.616
165,1379.32,33,31,137,0,1756.1,1766.17,376.787
166,1386.71,34,32,138,0,1766.17,1772.81,379.457
167,1391.98,35,33,139,0,1772.81,1782.89,380.825
168,1404.54,36,34,140,0,1782.89,1801.29,378.342
169,1408.66,36,34,140,0,1801.29,1815.36,392.636
170,1411.46,35,33,141,0,1815.36,1826.76,403.901
171,1422.35,35,33,142,0,1826.76,1830.46,404.406
172,1429.66,36,34,142,0,1830.46,1842.96,400.798
173,1441.98,36,34,0,1,1842.96,1845.02,400.981
174,1442.81,37,35,0,1,1845.02,1851.91,402.218
175,1452.69,37,35,1,1,1851.91,1853.15,399.222
176,1473.54,38,36,3,1,1853.15,1856.03,379.61
177,1476.98,39,37,3,1,1856.03,1874.17,379.054
178,1479.9,40,38,3,1,1874.17,1876.36,394.276
179,1480.91,40,38,4,1,1876.36,1887.31,395.449
180,1491.93,40,38,5,1,1887.31,1894.64,395.381
181,1498.67,41,39,5,1,1894.64,1919.25,395.97
182,1504.85,41,39,6,1,1919.25,1948.45,414.398
183,1519.78,41,39,7,1,1948.45,1954.27,428.671
184,1520.83,42,40,8,1,1954.27,1961.77,433.436
185,1534.49,43,41,9,1,1961.77,1966.08,427.281
186,1537.42,44,42,9,1,1966.08,1972.04,428.662
187,1549.4,44,42,10,1,1972.04,1990.5,422.642
188,1550.55,44,42,11,1,1990.5,2006.09,439.95
189,1554.28,44,42,11,1,2006.09,2017.52,451.804
190,1557.45,45,43,11,1,2017.52,2029.42,460.067
191,1577.42,42,40,13,1,2029.42,2039.99,452.005
192,1597.57,41,39,15,1,2039.99,2050.97,442.428
193,1613.99,41,39,17,1,2050.97,2057.28,436.982
194,1615.55,42,40,17,1,2057.28,2085.08,441.724
195,1617.26,43,41,17,1,2085.08,2095.85,467.82
196,1627.37,43,41,18,1,2095.85,2114.02,468.478
197,1627.38,44,42,18,1,2114.02,2122.88,486.645
198,1630.94,45,43,19,1,2122.88,2124.77,491.934
199,1635.21,46,44,19,1,2124.77,2127.89,489.557
200,1641.4,46,44,20,1,2127.89,2148.78,486.491
201,1643.94,47,45,20,1,2148.78,2151.28,504.841
202,1649.62,48,46,20,1,2151.28,2152.24,501.662
203,1649.88,49,47,20,1,2152.24,2155.02,502.353
204,1650.92,50,48,21,1,2155.02,2171.86,504.103
205,1670.47,50,48,23,1,2171.86,2173.98,501.395
206,1675.41,51,49,23,1,2173.98,2187.6,498.573
207,1675.91,52,50,23,1,2187.6,2198.79,511.69
208,1676.46,53,51,23,1,2198.79,2215.15,522.328
209,1698.77,51,49,25,1,2215.15,2230.43,516.383
210,1713.77,52,50,27,1,2230.43,2242.36,516.66
211,1719.67,52,50,27,1,2242.36,2244.2,522.685
212,1741.54,50,48,30,1,2244.2,2249.99,502.666
213,1744.54,50,48,30,1,2249.99,2261.97,505.444
214,1771.18,49,47,33,1,2261.97,2269.29,490.786
215,1783.79,48,46,34,1,2269.29,2270.17,485.502
216,1785.9,49,47,34,1,2270.17,2278.65,484.271
217,1787.16,50,48,34,1,2278.65,2305.05,491.496
218,1796.65,51,49,35,1,2305.05,2317.82,508.4
219,1802.97,51,49,36,1,2317.82,2317.84,514.849
220,1813.8,52,50,37,1,2317.84,2319.7,504.041
221,1823.77,52,50,38,1,2319.7,2345.8,495.927
222,1830.26,52,50,39,1,2345.8,2362.19,515.54
223,1839.58,52,50,39,1,2362.19,2369.68,522.612
224,1840.91,53,51,40,1,2369.68,2383.24,528.771
225,1843.28,53,51,40,1,2383.24,2392.36,539.96
226,1843.5,54,52,40,1,2392.36,2395.49,548.865
227,1844.59,55,53,40,1,2395.49,2402.17,550.907
228,1853.7,53,51,41,1,2402.17,2424.37,548.47
229,1858.79,53,51,41,1,2424.37,2433.01,565.575
230,1864.53,54,52,42,1,2433.01,2436.24,568.48
231,1866,55,53,42,1,2436.24,2436.33,570.242
232,1877.71,54,52,43,1,2436.33,2436.63,558.626
233,1884.14,55,53,44,1,2436.63,2438.84,552.489
234,1894.2,55,53,45,1,2438.84,2444.78,544.644
235,1910.33,55,53,47,1,2444.78,2474,534.457
236,1911.68,56,54,47,1,2474,2478.76,562.319
237,1915.93,57,55,47,1,2478.76,2486.02,562.825
238,1923.52,57,55,48,1,2486.02,2533.75,562.506
239,1925,58,56,48,1,2533.75,2537.64,608.752
240,1927.33,59,57,48,1,2537.64,2543.07,610.308
241,1932.97,60,58,49,1,2543.07,2550.67,610.101
242,1937.11,61,59,49,1,2550.67,2555.46,613.564
243,1937.21,62,60,49,1,2555.46,2555.77,618.252
244,1938.98,63,61,49,1,2555.77,2562.17,616.794
245,1946.29,64,62,50,1,2562.17,2565.87,615.879
246,1948.82,64,62,50,1,2565.87,2573.71,617.056
247,1956.93,64,62,51,1,2573.71,2581.68,616.776
248,1957.55,65,63,51,1,2581.68,2584.06,624.126
249,1958.33,66,64,51,1,2584.06,2605.37,625.728
250,1964.03,66,64,52,1,2605.37,2626.31,641.343
251,1971.22,66,64,53,1,2626.31,2634.23,655.096
252,1985.91,66,64,54,1,2634.23,2638.18,648.326
253,1987.16,67,65,54,1,2638.18,2639.39,651.018
254,1987.17,68,66,54,1,2639.39,2669.22,652.226
255,1991.43,68,66,55,1,2669.22,2673.92,677.79
256,2001.5,69,67,56,1,2673.92,2677.49,672.422
257,2022.81,68,66,58,1,2677.49,2681.89,654.686
258,2023.59,69,67,58,1,2681.89,2695.41,658.302
259,2024.33,70,68,58,1,2695.41,2698.18,671.084
260,2026.84,71,69,58,1,2698.18,2717.48,671.344
261,2027.29,72,70,58,1,2717.48,2720.01,690.191
262,2029.77,72,70,58,1,2720.01,2729.34,690.234
263,2036.68,73,71,59,1,2729.34,2736.17,692.657
264,2047.58,73,71,60,1,2736.17,2737.95,688.582
265,2062.83,72,70,62,1,2737.95,2753.48,675.121
266,2064.61,73,71,62,1,2753.48,2764.15,688.867
267,2065.16,74,72,62,1,2764.15,2814.04,698.988
268,2068.8,75,73,62,1,2814.04,2814.42,745.241
269,2071.47,76,74,63,1,2814.42,2820.93,742.951
270,2072.89,77,75,63,1,2820.93,2833.28,748.044
